drv_cif.h DrvCif.h
GPIO_PAD_get GpioPadGet
GPIO_PAD_set_array_val GpioPadSetArrayVal
GPIO_PAD_set_array_array GpioPadSetArrayArray
GPIO_PAD_set_range_val GpioPadSetRangeVal
DRV_GPIO_mode DrvGpioMode
DRV_GPIO_get_mode DrvGpioGetMode
DRV_GPIO_mode_range DrvGpioModeRange
DRV_GPIO_mode_list_val DrvGpioModeListVal
DRV_GPIO_mode_list_list DrvGpioModeListList
DRV_GPIO_set_pwm0 DrvGpioSetPwm0
DRV_GPIO_set_pwm1 DrvGpioSetPwm1
DRV_GPIO_set_pwm2 DrvGpioSetPwm2
DRV_GPIO_set_pwm3 DrvGpioSetPwm3
DRV_GPIO_set_pwm4 DrvGpioSetPwm4
DRV_GPIO_set_pwm5 DrvGpioSetPwm5
DRV_GPIO_en_pwm0 DrvGpioEnPwm0
DRV_GPIO_en_pwm1 DrvGpioEnPwm1
DRV_GPIO_en_pwm2 DrvGpioEnPwm2
DRV_GPIO_en_pwm3 DrvGpioEnPwm3
DRV_GPIO_en_pwm4 DrvGpioEnPwm4
DRV_GPIO_en_pwm5 DrvGpioEnPwm5

drvDdr.h DrvDdr.h
drvDdrDef.h DrvDdrDefines.h
drv_ddr.h DrvDdr.h
drvDdrText DrvDdrText
drvDdr DrvDdr
DRV_DDR_Initialise DrvDdrInitialise
drvDdrNotifyClockChange DrvDdrNotifyClockChange

drv_hsdio.h DrvHsdio.h
drv_hsdio_def.h DrvHsdioDefines.h
drv_hsdioText DrvHsdioText
drv_hsdio DrvHsdio
DRV_HSDIO_get_R1 DrvHsdioGetR1
DRV_HSDIO_get_R1b DrvHsdioGetR1b
DRV_HSDIO_get_R2 DrvHsdioGetR2
DRV_HSDIO_get_R_cmd0 DrvHsdioGetRCmd0
DRV_HSDIO_control DrvHsdioControl
DRV_HSDIO_clock DrvHsdioClock
DRV_HSDIO_reset DrvHsdioReset
DRV_HSDIO_cmd DrvHsdioCmd
DRV_HSDIO_led_on DrvHsdioLedOn
DRV_HSDIO_led_off DrvHsdioLedOff
DRV_HSDIO_init DrvHsdioInit
DRV_HSDIO_CMD0 DrvHsdioCmd0
DRV_HSDIO_CMD7 DrvHsdioCmd7
DRV_HSDIO_CMD8 DrvHsdioCmd8
DRV_HSDIO_CMD55 DrvHsdioCmd55
DRV_HSDIO_ACMD41 DrvHsdioAcmd41
DRV_HSDIO_CMD1 DrvHsdioCmd1
DRV_HSDIO_ACMD6 DrvHsdioAcmd6
DRV_HSDIO_CMD2 DrvHsdioCmd2
DRV_HSDIO_CMD3 DrvHsdioCmd3
DRV_HSDIO_CMD9 DrvHsdioCmd9
DRV_HSDIO_init_SD_MEM DrvHsdioInitSdMem
DRV_HSDIO_CMD17 DrvHsdioCmd17
DRV_HSDIO_CMD24 DrvHsdioCmd24
DRV_HSDIO_CMD18 DrvHsdioCmd18
DRV_HSDIO_CMD25 DrvHsdioCmd25
SD_mem_read DrvHsdioSdMemRead
SD_mem_write DrvHsdioSdMemWrite

drv_i2c.h DrvI2c.h
drv_i2c_def.h DrvI2cDefines.h
drv_i2cText DrvI2cText
drv_i2c DrvI2c
DRV_IIC_CON DrvIicCon
DRV_IIC_EN DrvIicEn
DRV_IIC_SET_TAR DrvIicSetTar
DRV_IIC_SET_SAR DrvIicSetSar
DRV_IIC_wr2_timeout DrvIicWr2Timeout
DRV_IIC_set_speed_slow DrvIicSetSpeedSlow
DRV_IIC_set_speed_fast DrvIicSetSpeedFast
DRV_IIC_set_speed_high DrvIicSetSpeedHigh
DRV_IIC_FIFO_depth DrvIicFifoDepth
DRV_IIC_wr DrvIicWr
DRV_IIC_wr2 DrvIicWr2
DRV_IIC_wr3 DrvIicWr3
DRV_IIC_wr4 DrvIicWr4
DRV_IIC_wr16 DrvIicWr16
DRV_IIC_bitbang_wr2 DrvIicBitbangWr2
DRV_IIC_wr_8ba DrvIicWr8ba
DRV_IIC_rd DrvIicRd
DRV_IIC_rd8ba DrvIicRd8ba
DRV_IIC_rd8ba_timeout DrvIicRd8baTimeout
DRV_IIC_rd16ba DrvIicRd16ba
DRV_IIC_rd8ba16d DrvIicRd8ba16d
DRV_IIC_bitbang_rd8ba16d DrvIicBitbangRd8ba16d
DRV_IIC_rd16ba16d DrvIicRd16ba16d
DRV_IIC_test_init DrvIicTestInit
DRV_IIC_test_init_fast DrvIicTestInitFast
DRV_IIC_bitbang_init DrvIicBitbangInit
DRV_IIC_master_init DrvIicMasterInit
DRV_IIC_slave_init DrvIicSlaveInit
DRV_I2C_SLV_ISR DrvI2cSlvIsr
DRV_IIC_EEPROM_rd DrvIicEepromRd
DRV_IIC_EEPROM_wr DrvIicEepromWr
DRV_IIC_program_dev DrvIicProgramDev
DRV_IIC_program_dev2 DrvIicProgramDev2
DRV_IIC_bitbang_write_page DrvIicBitbangWritePage
DRV_IIC_bitbang_read_eeprom DrvIicBitbangReadEeprom
DRV_IIC_bitbang_eeprom DrvIicBitbangEeprom
DRV_IIC_bitbang_read DrvIicBitbangRead
DRV_IIC_bitbang DrvIicBitbang
DRV_IIC_bitbang_wr_n DrvIicBitbangWrN

drv_i2c_master.h DrvI2cMaster.h
drv_i2c_master_types.h DrvI2cMasterDefines.h
drv_i2c_masterText DrvI2cMasterText
drv_i2c_master DrvI2cMaster
DRV_I2CM_Init DrvI2cMInit
DRV_I2CM_Transaction DrvI2cMTransaction
DRV_I2CM_SetErrorHandler DrvI2cMSetErrorHandler
DRV_I2CM_readByte DrvI2cMReadByte
DRV_I2CM_writeByte DrvI2cMWriteByte
DRV_I2CM_GetCurrentConfig DrvI2cMGetCurrentConfig

drv_i2s.h DrvI2s.h
drv_i2s_def.h DrvI2sDefines.h
drv_i2sText DrvI2sText
drv_i2s DrvI2s
drv_struct_i2s_hand drvStructI2sHand
DRV_I2S_STRUCT_H DrvI2sStructH
DRV_I2S_init_ch0 DrvI2sInitCh0
DRV_I2S_init_ch0_rxtx DrvI2sInitCh0RxTx
DRV_I2S_init_ch1 DrvI2sInitCh1
DRV_I2S_init_ch1_rxtx DrvI2sInitCh1RxTx
DRV_I2S_init_ch2 DrvI2sInitCh2
DRV_I2S_config_example DrvI2sConfigExample
DRV_I2S_handler_init DrvI2sHandlerInit
DRV_I2S_handler_init_rx_tx DrvI2sHandlerInitRxTx
DRV_I2S_handler DrvI2sHandler
DRV_I2S_handler_two DrvI2sHandlerTwo
DRV_I2S_handler_rxtx DrvI2sHandlerRxTx

drv_icb.h DrvIcb.h
drv_icb_def.h DrvIcbDefines.h
drv_icbText DrvIcbText
drv_icb DrvIcb
drvIcbSetupIrq DrvIcbSetupIrq
DRV_ICB_configure_irq DrvIcbConfigureIrq
DRV_ICB_set_irq_handler DrvIcbSetIrqHandler
DRV_ICB_enable_irq DrvIcbEnableIrq
DRV_ICB_disable_irq DrvIcbDisableIrq
DRV_ICB_irq_clear DrvIcbIrqClear
DRV_ICB_irq_trigger DrvIcbIrqTrigger
DRV_ICB_irq_pending DrvIcbIrqPending
DRV_ICB_irq_src DrvIcbIrqSrc
DRV_ICB_clr_psr_pil drvIcbClrPsrPil
DRV_ICB_disable_traps swcLeonDisableTraps
DRV_ICB_enable_traps swcLeonEnableTraps
DRV_ICB_set_PIL swcLeonSetPIL
DRV_ICB_get_PIL swcLeonGetPIL
DRV_ICB_traps_status swcLeonAreTrapsEnabled

drv_lcd.h DrvLcd.h
drv_lcd_def.h DrvLcdDefines.h
drv_lcdText DrvLcdText
drv_lcd DrvLcd
DRV_LCD_timing DrvLcdTiming
DRV_LCD_ctrl DrvLcdCtrl
DRV_LCD_layer0 DrvLcdLayer0
DRV_LCD_DMA_Layer0 DrvLcdDmaLayer0
DRV_LCD_DMA_Layer0_pp DrvLcdDmaLayer0PP
DRV_LCD_layer1 DrvLcdLayer1
DRV_LCD_DMA_Layer1 DrvLcdDmaLayer1
DRV_LCD_DMA_Layer1_pp DrvLcdDmaLayer1PP
DRV_LCD_layer2 DrvLcdLayer2
DRV_LCD_DMA_Layer2 DrvLcdDmaLayer2
DRV_LCD_layer3 DrvLcdLayer3
DRV_LCD_DMA_Layer3 DrvLcdDmaLayer3
DRV_LCD_pwm0 DrvLcdPwm0
DRV_LCD_pwm1 DrvLcdPwm1
DRV_LCD_pwm2 DrvLcdPwm2
DRV_LCD_VL1_scale DrvLcdVl1Scale
DRV_LCD_VL2_scale DrvLcdVl2Scale
DRV_LCD_GL1_scale DrvLcdGl1Scale
DRV_LCD_GL2_scale DrvLcdGl2Scale
DRV_LCD_csc DrvLcdCsc
DRV_LCD_lut DrvLcdLut
DRV_LCD_cb_planar DrvLcdCbPlanar
DRV_LCD_cr_planar DrvLcdCrPlanar
DRV_LCD_cb_planar_pp DrvLcdCbPlanarPP
DRV_LCD_cr_planar_pp DrvLcdCrPlanarPP
DRV_LCD_Transparency DrvLcdTransparency
DRV_LCD_Layer_pos DrvLcdLayerPos

drv_spi.h DrvSpi.h
drv_spi_def.h DrvSpiDefines.h
drv_spiText DrvSpiText
drv_spi DrvSpi
mssi_base DrvSpiMssiBase
DRV_SPI_en DrvSpiEn
DRV_SPI_wait_last_bit DrvSpiWaitLastBit
DRV_SPI_init DrvSpiInit
DRV_SPI_timing_cfg DrvSpiTimingCfg
DRV_SPI_status DrvSpiStatus
DRV_SPI_int_mask DrvSpiInMask
DRV_SPI_set_last_bit DrvSpiSetLastBit
DRV_SPI_ss DrvSpiSs
DRV_SPI_send_word DrvSpiSendWord
DRV_SPI_send_buffer DrvSpiSendBuffer
DRV_SPI_flush_fifo DrvSpiFlushFifo
DRV_SPI_word DrvSpiWord
DRV_SPI_rxtx DrvSpiRxTx
DRV_SPI_TEST_LOOP DrvSpiTestLoop
DRV_SPI_loop DrvSpiLoop
DRV_SPI_configure_gpio DrvSpiConfigureGpio
wait_for_TX DrvSpiWaitForTX
retrive_data DrvSpiRetriveData
DRV_SPI_EEPROM_write DrvSpiEepromWrite
DRV_SPI_EEPROM_read DrvSpiEepromRead
DRV_SPI_SRAM_read DrvSpiSramRead
DRV_SPI_SRAM_write DrvSpiSramWrite
DRV_SPI_slave DrvSpiSlave
DRV_SPI_recv_word DrvSpiRecvWord

drv_uart.h DrvUart.h
drv_uart_def.h DrvUartDefines.h
drv_uartText DrvUartText
drv_uart DrvUart
DRV_APB_UART_put_char DrvApbUartPutChar
DRV_APB_UART_vcs_put_char DrvApbUartVcsPutChar
DRV_APB_UART_init DrvApbUartInit
DRV_APB_UART_parity DrvApbUartParity
DRV_APB_UART_en_int DrvApbUartEnInt
DRV_APB_UART_baud DrvApbUartBaud
DRV_APB_UART_test_init DrvApbUartTestInit
DRV_APB_UART_get_char DrvApbUartGetChar
DRV_APB_UART_get_char_no_wait DrvApbUartGetCharNoWait
DRV_APB_UART_put_str DrvApbUartPutStr
DRV_APB_UART_flush DrvApbUartFlush

drv_vcs.h DrvVcs.h
drv_vcsText DrvVcsText
drv_vcs DrvVcs
DRV_VCS_putchar DrvVcsPutchar
read_error_report ReadErrorReport
read_error_report_quiet ReadErrorReportQuiet
sleep Sleep
DRV_dump_mem DrvDumpMem
DRV_trigger_load_mem DrvTriggerLoadMem
drv_test_halt DdrvTestHalt

drvCpr.h DrvCpr.h
drvCprDef.h DrvCprDefines.h
drvCprText DrvCprText
drvCpr DrvCpr
drvCprInit DrvCprInit
drvCprSetupClocks DrvCprSetupClocks
drvCprConfigureSystemClk DrvCprConfigureSystemClk
drvCprAuxClocksEnable DrvCprAuxClocksEnable
drvCprAuxClockArrayConfig DrvCprAuxClockArrayConfig
drvCprGetClockFreqKhz DrvCprGetClockFreqKhz
drvCprPllBypass DrvCprPllBypass
drvCprSysDeviceAction DrvCprSysDeviceAction
drvCprGetSysClockKhz DrvCprGetSysClockKhz
drvCprGetSysClocksPerUs DrvCprGetSysClocksPerUs

drvPwm.h DrvPwm.h
drvPwmDefines.h DrvPwmDefines.h
drvPwmText DrvPwmText
drvPwm DrvPwm
drvPwmConfigure DrvPwmConfigure
drvPwmEnable DrvPwmEnable
drvPwmSetupVoltageControl DrvPwmSetupVoltageControl

drvRegUtilsDef.h DrvRegUtilsDefines.h
drvRegUtils.h DrvRegUtils.h
drvRegUtilsText DrvRegUtilsText
drvRegUtils DrvRegUtils
drvRegWaitForBitsSetAny DrvRegWaitForBitsSetAny
drvRegWaitForBitsSetAll DrvRegWaitForBitsSetAll
drvRegWaitForBitsClear DrvRegWaitForBitsClearAll
drvRegSetBitField DrvRegSetBitField
drvRegGetBitField DrvRegGetBitField

drvSvuDefines.h DrvSvuDefines.h
drvSvu.h DrvSvu.h
drvSvuText DrvSvuText
drvSvu DrvSvu
drvSvuDebug.h DrvSvuDebug.h
drvSvuDebugText DrvSvuDebugText
drvSvuDebug DrvSvuDebug
svut_irf_read DrvSvutIrfRead
svut_srf_read DrvSvutSrfRead
svut_vrf_read DrvSvutVrfRead
svut_trf_read DrvSvutTrfRead
svut_irf_write DrvSvutIrfWrite
svut_srf_write DrvSvutSrfWrite
svut_vrf_write DrvSvutVrfWrite
svut_trf_write DrvSvutTrfWrite
drvSvuIsStopped DrvSvuIsStopped
svut_swi_tag DrvSvutSwiTag
svut_zero_rfs DrvSvutZeroRfs
drvSvuStart DrvSvuStart
svut_stop DrvSvutStop
drvSvuEnablePerformanceCounter DrvSvuEnablePerformanceCounter
drvSvuGetPerformanceCounter0 DrvSvuGetPerformanceCounter0
drvSvuGetPerformanceCounter1 DrvSvuGetPerformanceCounter1
drvSvuEnableL1Cache DrvSvuEnableL1Cache
L1CacheCtrl DrvSvuL1CacheCtrl
L1CacheCtrlLine DrvSvuL1CacheCtrlLine
InvalidateL1Cache DrvSvuInvalidateL1Cache
svuSliceResetAll DrvSvuSliceResetAll
svuSliceResetOnlySvu DrvSvuSliceResetOnlySvu

drvTimerDef.h DrvTimerDefines.h
drvTimer.h DrvTimer.h
drvTimerText DrvTimerText
drvTimer DrvTimer
drvTimerInit DrvTimerInit
drvTimerGetSysTicks64 DrvTimerGetSysTicks64
drvTimerTicksToMs DrvTimerTicksToMs
drvTimerCallAfterMicro DrvTimerCallAfterMicro
drvTimerIncrementAfterMicro DrvTimerIncrementAfterMicro
drvTimerAdjustTimerValue DrvTimerAdjustTimerValue
drvTimerDisable DrvTimerDisable
sleepMs SleepMs
sleepMicro SleepMicro
drvTimerUptimeMs DrvTimerUptimeMs
sleepTicks SleepTicks
drvTimerTimeoutInitUs DrvTimerTimeoutInitUs
drvTimerTimeout DrvTimerTimeout
drvTimerStart DrvTimerStart
drvTimerElapsedTicks DrvTimerElapsedTicks

drvL2Cache.h DrvL2Cache.h
drvL2CacheSetDMAPartId DrvL2CacheSetDMAPartId
drvL2CacheSetLSUPartId DrvL2CacheSetLSUPartId
drvL2CacheSetWinPartId DrvL2CacheSetWinPartId
drvL2CachePartitionFlush DrvL2CachePartitionFlush
drvL2CachePartitionInvalidate DrvL2CachePartitionInvalidate
drvL2CachePartitionFlushAndInvalidate DrvL2CachePartitionFlushAndInvalidate
drvL2CacheClearPartitions DrvL2CacheClearPartitions
drvL2CacheSetupPartition DrvL2CacheSetupPartition
drvL2CacheAllocateSetPartitions DrvL2CacheAllocateSetPartitions
drvL2CacheSetupDMAPartitionsNumber DrvL2CacheSetupDMAPartitionsNumber
